Universe,Universe_Group,Opportunity_Type,Opportunity_Eligible,Symbol,Raw_Symbol,Name,Category,ISIN,Include,Source
ETF,ETF,Parking/Debt ETF,No,ELIQUID.NS,ELIQUID,EDELAMC - ELIQUID,Parking/Debt ETF,INF754K01VW2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ELM250.NS,ELM250,EDELAMC - ELM250,Broad Market ETF,INF754K01VV4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EMULTIMQ.NS,EMULTIMQ,EDELAMC - EMULTIMQ,IT ETF,INF754K01TF1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ENERGY.NS,ENERGY,MIRAEAMC - ENERGY,Broad Market ETF,INF769K01PR2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ENEXT50.NS,ENEXT50,EDELAMC - ENEXT50,Broad Market ETF,INF754K01XF3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ENIFTY.NS,ENIFTY,EDELAMC - ENIFTY,Broad Market ETF,INF754K01VX0,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EQUAL200.NS,EQUAL200,MIRAEAMC - EQUAL200,ETF,INF769K01OA1,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EQUAL50.NS,EQUAL50,MIRAEAMC - EQUAL50,Broad Market ETF,INF769K01OO2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EQUAL50ADD.NS,EQUAL50ADD,DSPAMC-DSPNEWETF,Broad Market ETF,INF740KA1QK2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ESENSEX.NS,ESENSEX,EDELAMC - ESENSEX,Broad Market ETF,INF754K01VY8,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,ESG.NS,ESG,MIRAEAMC-MAESGETF,Parking/Debt ETF,INF769K01GS9,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,ESILVER.NS,ESILVER,EDELAMC-Esilver,Silver ETF,INF754K01SF3,Yes,NSE ETF
