Symbol,Raw_Symbol,Name,Category,ISIN,ETF_Name,ETF_Category,ETF_ISIN,Suggested_AMFI_Scheme_Code,Suggested_AMFI_Scheme_Name,Suggested_NAV,Suggested_NAV_Date,Match_Score,Match_Type,Mapping_Status,Manual_AMFI_Scheme_Code,Manual_AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,Quality_Override_Notes
HDFCMOMENT.NS,HDFCMOMENT,HDFCAMC-HDFCMOMENT,Factor ETF,INF179KC1HV6,HDFCAMC-HDFCMOMENT,Factor ETF,INF179KC1HV6,150657,HDFC NIFTY200 MOMENTUM 30 ETF - Growth Option,30.7464,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCNEXT50.NS,HDFCNEXT50,HDFCAMC-HDFCNEXT50,Broad Market ETF,INF179KC1HS2,HDFCAMC-HDFCNEXT50,Broad Market ETF,INF179KC1HS2,150477,HDFC NIFTY NEXT 50 ETF - Growth Option,73.7388,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCNIF100.NS,HDFCNIF100,HDFCAMC-HDFCNIF100,Broad Market ETF,INF179KC1HR4,HDFCAMC-HDFCNIF100,Broad Market ETF,INF179KC1HR4,150476,HDFC NIFTY 100 ETF - Growth Option,26.1278,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCNIFBAN.NS,HDFCNIFBAN,HDFCAMC-HDFCNIFBAN,Bank/Financial ETF,INF179KC1HY0,HDFCAMC-HDFCNIFBAN,Bank/Financial ETF,INF179KC1HY0,148461,HDFC NIFTY Bank ETF - GROWTH,59.6346,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCNIFIT.NS,HDFCNIFIT,HDFCAMC-HDFCNIFIT,IT ETF,INF179KC1IA8,HDFCAMC-HDFCNIFIT,IT ETF,INF179KC1IA8,150801,HDFC NIFTY IT ETF - Growth option,29.2639,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCNIFTY.NS,HDFCNIFTY,HDFCAMC-HDFCNIFTY,Broad Market ETF,INF179KC1965,HDFCAMC-HDFCNIFTY,Broad Market ETF,INF179KC1965,135853,HDFC NIFTY 50 ETF - Growth Plan,273.0594,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCPSUBK.NS,HDFCPSUBK,HDFCAMCHDFCPSUBK,Bank/Financial ETF,INF179KC1HW4,HDFCAMCHDFCPSUBK,Bank/Financial ETF,INF179KC1HW4,152350,HDFC NIFTY PSU BANK ETF,85.1218,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCPVTBAN.NS,HDFCPVTBAN,HDFCAMC-HDFCPVTBAN,Bank/Financial ETF,INF179KC1HZ7,HDFCAMC-HDFCPVTBAN,Bank/Financial ETF,INF179KC1HZ7,150802,HDFC NIFTY Private Bank ETF - Growth Option,28.7272,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCQUAL.NS,HDFCQUAL,HDFCAMC-HDFCQUAL,Parking/Debt ETF,INF179KC1DL6,HDFCAMC-HDFCQUAL,Parking/Debt ETF,INF179KC1DL6,150620,HDFC NIFTY100 QUALITY 30 ETF - Growth Option,57.3697,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCSENSEX.NS,HDFCSENSEX,HDFCAMC-HDFCSENSEX,Broad Market ETF,INF179KC1HX2,HDFCAMC-HDFCSENSEX,Broad Market ETF,INF179KC1HX2,135854,HDFC BSE Sensex ETF - Growth Plan,88.0861,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCSILVER.NS,HDFCSILVER,HDFCAMC-HDFCSILVER,Parking/Debt ETF,INF179KC1DI2,HDFCAMC-HDFCSILVER,Parking/Debt ETF,INF179KC1DI2,150556,HDFC Silver ETF - Growth Option,221.6785,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCSML250.NS,HDFCSML250,HDFCAMC-HDFCSML250,Broad Market ETF,INF179KC1FB2,HDFCAMC-HDFCSML250,Broad Market ETF,INF179KC1FB2,151375,HDFC NIFTY Smallcap 250 ETF - Growth Option,181.1351,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCVALUE.NS,HDFCVALUE,HDFCAMC-HDFCVALUE,Parking/Debt ETF,INF179KC1DK8,HDFCAMC-HDFCVALUE,Parking/Debt ETF,INF179KC1DK8,150619,HDFC NIFTY 50 VALUE 20 ETF - Growth Option,127.1322,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HEALTHADD.NS,HEALTHADD,DSPAMC-HEALTHADD,Pharma/Healthcare ETF,INF740KA1ZG1,DSPAMC-HEALTHADD,Pharma/Healthcare ETF,INF740KA1ZG1,152306,DSP Nifty Healthcare ETF,16.5804,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
