Symbol,Raw_Symbol,Name,Universe_Group,Opportunity_Type,ISIN,AMFI_Scheme_Code,AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,NAV_Source,NAV_Match_Method,NAV_Match_Score,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,AUM_Source,TER_Source,Tracking_Error_Source,Tracking_Difference_Source,Benchmark_Source,Metadata_Confidence,Metadata_Flags,Last_Updated
BANKBEES.NS,BANKBEES,NIPINDETFBANKBEES,ETF,Equity ETF,INF204KB15I9,140087,Nippon India ETF Nifty Bank BeES,599.7995,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,,,,-0.0048,Nifty Bank TRI,,,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.55,AUM missing; TER missing,2026-07-04 05:36:40
BANKBETA.NS,BANKBETA,UTIAMC-BANKBETA,ETF,Equity ETF,INF789F1AUV1,148173,UTI Nifty Bank ETF,59.9216,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40055.67,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKBETF.NS,BANKBETF,BFAM-BANKBETF,ETF,Equity ETF,INF0QA701714,152357,Bajaj Finserv Nifty Bank ETF,58.8813,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,41035.58,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKETF.NS,BANKETF,MIRAEAMC-BANKETF,ETF,Equity ETF,INF769K01KR3,151857,Mirae Asset Nifty Bank ETF,590.1906,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,25390.25,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKIETF.NS,BANKIETF,ICICIPRAMC-IPRU5008,ETF,Equity ETF,INF109KC15I8,147483,ICICI Prudential Nifty Bank ETF,59.4859,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40055.67,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKNIFTY1.NS,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,ETF,Equity ETF,INF174KA1ZB7,133122,Kotak Nifty Bank ETF,60.1231,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40055.67,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKPSU.NS,BANKPSU,MIRAEAMC - BANKPSU,ETF,Equity ETF,INF769K01LZ4,152929,Mirae Asset Nifty PSU Bank ETF,84.8534,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,6252.15,0.0085,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BBETF0432.NS,BBETF0432,EDELAMC-BBETF0432,ETF,Parking/Debt ETF,INF754K01OB1,149398,BHARAT Bond ETF - April 2032,1353.8516,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.11,,,0.0042,NIFTY BHARAT Bond Index - April 2032,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
BBNPNBETF.NS,BBNPNBETF,BARODABNP - BBNPNBETF,ETF,Equity ETF,INF251K01TL6,152683,Baroda BNP Paribas Nifty Bank ETF,58.4087,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,374.92,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BBNPPGOLD.NS,BBNPPGOLD,BARODABNP-BBNPPGOLD,ETF,Commodity ETF,INF251K01SU9,152231,Baroda BNP Paribas Gold ETF,140.6359,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,32413.53,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BFSI.NS,BFSI,MIRAEAMC-MAFSETF,ETF,Equity ETF,INF769K01HI8,149105,Mirae Asset Nifty Financial Services ETF,27.9107,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,45443.94,0.0011,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
