Date,Symbol,Delivery_Pct
2026-07-03,AWL,24.28
2026-07-03,AXISBANK,58.5
2026-07-03,AXISCADES,59.07
2026-07-03,AXITA,45.88
2026-07-03,AYE,44.62
2026-07-03,AYMSYNTEX,28.02
2026-07-03,AZAD,42.17
2026-07-03,BAGFILMS,74.05
2026-07-03,BAIDFIN,56.67
2026-07-03,BAJAJ-AUTO,47.16
2026-07-03,BAJAJCON,52.95
2026-07-03,BAJAJELEC,55.34
2026-07-03,BAJAJFINSV,41.17
2026-07-03,BAJAJHCARE,32.82
2026-07-03,BAJAJHFL,21.42
2026-07-03,BAJAJHIND,45.53
2026-07-03,BAJAJHLDNG,45.36
2026-07-03,BAJAJINDEF,67.91
2026-07-03,BAJAJST,46.4
2026-07-03,BAJEL,59.07
2026-07-03,BAJFINANCE,52.66
2026-07-03,BALAJEE,47.43
2026-07-03,BALAJITELE,69.45
2026-07-03,BALAMINES,29.22
2026-07-03,BALKRISHNA,58.55
2026-07-03,BALKRISIND,44.05
2026-07-03,BALMLAWRIE,73.65
2026-07-03,BALPHARMA,78.91
2026-07-03,BALRAMCHIN,43.63
2026-07-03,BALUFORGE,41.53
2026-07-03,BANARBEADS,86.37
2026-07-03,BANARISUG,51.39
2026-07-03,BANCOINDIA,33.19
2026-07-03,BANDHANBNK,42.15
2026-07-03,BANG,65.84
2026-07-03,BANK10ADD,69.77
2026-07-03,BANKADD,50.8
2026-07-03,BANKBARODA,53.55
2026-07-03,BANKBEES,61.97
2026-07-03,BANKBETA,97.31
2026-07-03,BANKBETF,73.9
2026-07-03,BANKETF,60.89
2026-07-03,BANKIETF,74.34
2026-07-03,BANKINDIA,34.74
2026-07-03,BANKNIFTY1,76.34
2026-07-03,BANKPSU,65.29
2026-07-03,BANSALWIRE,35.57
2026-07-03,BANSWRAS,78.0
2026-07-03,BASF,41.27
2026-07-03,BATAINDIA,47.72
2026-07-03,BATLIBOI,23.64
2026-07-03,BAYERCROP,56.33
2026-07-03,BBETF0432,69.85
2026-07-03,BBL,59.14
2026-07-03,BBNPNBETF,86.01
2026-07-03,BBNPPGOLD,87.81
2026-07-03,BBOX,38.74
2026-07-03,BBTC,47.36
2026-07-03,BBTCL,79.05
2026-07-03,BCG,50.94
2026-07-03,BCLIND,45.59
2026-07-03,BCONCEPTS,69.95
2026-07-03,BCPL,61.7
2026-07-03,BDL,27.06
2026-07-03,BEARDSELL,68.23
2026-07-03,BECTORFOOD,72.18
2026-07-03,BEDMUTHA,66.92
2026-07-03,BEEKAY,50.68
2026-07-03,BEL,45.87
2026-07-03,BELLACASA,64.53
2026-07-03,BELRISE,64.97
2026-07-03,BEML,57.4
2026-07-03,BENGALASM,50.0
2026-07-03,BEPL,54.19
2026-07-03,BERGEPAINT,61.56
2026-07-03,BESTAGRO,46.31
2026-07-03,BETA,50.62
2026-07-03,BFINVEST,58.92
2026-07-03,BFSI,64.74
2026-07-03,BFUTILITIE,49.8
2026-07-03,BHAGCHEM,28.07
2026-07-03,BHARATCOAL,37.61
2026-07-03,BHARATFORG,49.64
2026-07-03,BHARATGEAR,54.69
2026-07-03,BHARATRAS,58.72
2026-07-03,BHARATSE,10.15
2026-07-03,BHARATWIRE,52.64
2026-07-03,BHARTIARTL,65.8
2026-07-03,BHARTIHEXA,87.41
2026-07-03,BHEL,45.02
2026-07-03,BI,66.31
2026-07-03,BIGBLOC,49.73
2026-07-03,BIKAJI,46.68
2026-07-03,BIL,63.07
2026-07-03,BIMETAL,62.38
2026-07-03,BIOCON,54.32
2026-07-03,BIOFILCHEM,56.89
2026-07-03,BIRLACORPN,52.89
2026-07-03,BIRLAMONEY,70.36
2026-07-03,BIRLANU,57.24
2026-07-03,BIRLAPREC,43.32
2026-07-03,BLACKBUCK,49.96
2026-07-03,BLAL,43.95
2026-07-03,BLBLIMITED,76.04
2026-07-03,BLIL,87.42
2026-07-03,BLKASHYAP,49.18
2026-07-03,BLS,48.38
2026-07-03,BLSE,8.55
